id_category;id_parent;id_shop_default;level_depth;nleft;nright;active;date_add;date_upd;position;is_root_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description
1;87;1;1;2;133;1;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;1;1;1;Home;;home;;;
33;48;1;3;92;93;0;"2012-05-21 15:57:36";"2013-11-14 03:45:11";0;0;1;1;Vintage;;vintage;;;
34;1;1;2;35;44;1;"2012-05-21 15:57:40";"2021-02-01 21:13:06";3;0;1;1;Aviator;"<p>Aviator sunglasses, otherwise know as the pilot aviator sunglasses were developed back in 1936. Named so as Aviators were originally developed for pilots to protect their eyes while flying. <span style=""line-height:1.5em;"">The Aviator became a well-known style of sunglass when General Douglas MacArthur landed on the beach in the Philippines in World War II. Aviators were also made popular in the 60's by artists like </span><span style=""line-height:1.5em;"">Paul McCartney, Ringo Starr and Freddie Mercury and later by movie stars like </span><span style=""line-height:1.5em;"">Tom Cruise, Val Kilmer, and Anthony Edwards. Aviators are a true classic sunglass style that will never go out of trend. </span></p>";aviator;"Affordable Aviator Sunglasses, Pilot sunglasses classic styles sunglasses online";"aviator,pilot,aviator sunglasses,pilot sunglasses,orange aviator,green aviator,black aviator,pink aviator,blue aviator,yellow aviator,red aviator,ice blue aviator,black pilot sunglasses,silver pilot sunglasses,pilot aviator";"Aviator Sunglasses in classic black, silver and gold. The famous pilot aviator sunglasses available online Australia's favourite shop for affordable sunglasses sunnies.com.au"
36;48;1;3;98;99;0;"2012-05-21 15:58:20";"2013-11-14 03:45:43";4;0;1;1;Sports;;sports;;;
37;49;1;3;82;83;1;"2012-05-21 15:58:20";"2017-01-17 16:41:25";3;0;1;1;Fitovers;;fitovers;;;
38;48;1;3;104;105;0;"2012-05-21 15:58:21";"2013-11-14 03:45:57";7;0;1;1;Party;;partyglasogon;;;
48;1;1;2;91;106;1;"2012-05-24 13:38:46";"2021-02-01 21:13:06";11;0;1;1;"OLD All Sunnies";;old-all-sunnies;"All Sunglasses";sunnies,sunglasses;"All Sunglasses at Australia's favourite shop for fashionable sunglasses"
49;1;1;2;77;86;1;"2012-05-24 14:01:31";"2021-02-01 21:13:06";8;0;1;1;Accessories;"<p>Affordable sunglasses and accessories to make your sunnies purchase complete. We have a range of sunglasses straps, sunglasses sport straps, adjustable sunglass straps and sunglasses cases, pouches and soft cases. Alongside our fantastic range of clip-ons and fitovers you will find a huge range of affordable sunglasses accessories online anytime you need them. </p>";accessories;"Affordable Accessories for Sunglasses online";"accessories,sunglasses accessories,clip on,clip-on sunglasses,clip on sunglasses,fitovers,polarised fitover,polarised clip-on sunglasses,kids clip-ons,sunglasses hard case,sunglass case,sunglass pouch,sunnies cpouch,sunglass strap,sports strap";"Affordable Accessories for Sunglasses online at Australia's favourite online store for great value sunglasses and accessories"
50;49;1;3;84;85;1;"2012-05-24 14:02:51";"2017-01-17 16:41:35";4;0;1;1;Cases;;cases;;;
51;49;1;3;78;79;1;"2012-05-24 14:03:57";"2017-01-17 16:41:16";1;0;1;1;Straps;;straps;;;
