ID,Image,Name,Reference,Category,Base price,Final price,Quantity,Status,
2094,http://www.sunnies.com.au/img/p/9/3/0/1/9301.jpg,Samantha - Brown,SHERecBrn,Womens,22.681818,24.95,2,1,
2093,http://www.sunnies.com.au/img/p/9/3/0/0/9300.jpg,Samantha - Red,SHERecrd,Womens,22.681818,24.95,4,1,
2092,http://www.sunnies.com.au/img/p/9/2/9/4/9294.jpg,Karlie - Blue Light Blocking - Matte Black,JH5099BLMb,Blue Light Blocking,22.681818,24.95,4,1,
2091,http://www.sunnies.com.au/img/p/9/2/9/2/9292.jpg,Karlie - Blue Light Blocking - Purple,JH5099BLPp,Blue Light Blocking,22.681818,24.95,10,1,
2090,http://www.sunnies.com.au/img/p/9/2/9/0/9290.jpg,Karlie - Blue Light Blocking - Red,JH5099BLRd,Blue Light Blocking,22.681818,24.95,4,1,
2089,http://www.sunnies.com.au/img/p/9/2/8/8/9288.jpg,Karlie - Blue Light Blocking - Black,JH5099BLBl,Blue Light Blocking,22.681818,24.95,12,1,
2088,http://www.sunnies.com.au/img/p/9/2/8/6/9286.jpg,Karlie - Blue Light Blocking - Blue,JH5099BLB,Blue Light Blocking,22.681818,24.95,4,1,
2087,http://www.sunnies.com.au/img/p/9/2/8/4/9284.jpg,Karlie - Blue Light Blocking - Clear Blue,JH5099BLCB,Blue Light Blocking,22.681818,24.95,10,1,
2086,http://www.sunnies.com.au/img/p/9/2/8/3/9283.jpg,Karlie - Blue Light Blocking - Clear Pink,JH5099BLCP,Blue Light Blocking,22.681818,24.95,10,1,
2085,http://www.sunnies.com.au/img/p/0.jpg,Demi - Blue Light Blocking Black Clear,HB9513TCLR,Blue Light Blocking,29.954545,32.95,0,0,
2084,http://www.sunnies.com.au/img/p/9/2/8/0/9280.jpg,Karlie - Blue Light Blocking - Clear,JH5099BLCL,Blue Light Blocking,22.681818,24.95,10,1,
2083,http://www.sunnies.com.au/img/p/9/2/7/9/9279.jpg,Premium Kids Polarised Aviator Pink RV,PreKAvipolpkrv,Kids,18.136364,19.95,6,1,
2082,http://www.sunnies.com.au/img/p/9/2/7/0/9270.jpg,Bold Betty - Black Mirror,CS41007Bm,Womens,29.954545,32.95,1,1,
